"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 07:05:50 UTC 2023","Sun Nov 26 07:05:56 UTC 2023","6639","tests","test_api_wallet","","","","test_get_transactions_token[usdc]",""
"passed","Sun Nov 26 07:05:02 UTC 2023","Sun Nov 26 07:05:03 UTC 2023","205","tests","test_api_licenses","","","","test_get_license_types",""
"passed","Sun Nov 26 07:05:05 UTC 2023","Sun Nov 26 07:05:05 UTC 2023","207","tests","test_api_login","","","","test_negative_login_step1_invalid_creds",""
"passed","Sun Nov 26 07:06:01 UTC 2023","Sun Nov 26 07:06:01 UTC 2023","196","tests","test_api_wallet","","","","test_negative_get_mnemonic_no_token",""
"skipped","Sun Nov 26 07:05:59 UTC 2023","Sun Nov 26 07:05:59 UTC 2023","0","tests","test_api_wallet","","","","test_get_balance",""
"skipped","Sun Nov 26 07:04:45 UTC 2023","Sun Nov 26 07:04:45 UTC 2023","0","tests","test_api_distribution","","","","test_post_admin_add_partners",""
"passed","Sun Nov 26 07:05:59 UTC 2023","Sun Nov 26 07:05:59 UTC 2023","219","tests","test_api_wallet","","","","test_get_payment_address[ize]",""
"passed","Sun Nov 26 07:06:01 UTC 2023","Sun Nov 26 07:06:02 UTC 2023","190","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[btc]",""
"passed","Sun Nov 26 07:04:58 UTC 2023","Sun Nov 26 07:04:58 UTC 2023","191","tests","test_api_invoices","","","","test_negative_get_invoice_no_token",""
"passed","Sun Nov 26 07:05:26 UTC 2023","Sun Nov 26 07:05:27 UTC 2023","344","tests","test_api_wallet","","","","test_get_wallet[btc]",""
"skipped","Sun Nov 26 07:04:45 UTC 2023","Sun Nov 26 07:04:45 UTC 2023","0","tests","test_api_distribution","","","","test_delete_distribution",""
"passed","Sun Nov 26 07:06:03 UTC 2023","Sun Nov 26 07:06:03 UTC 2023","434","tests","test_new_user_flow","","","","test_create_user_step1",""
"passed","Sun Nov 26 07:05:11 UTC 2023","Sun Nov 26 07:05:11 UTC 2023","263","tests","test_api_members","","","","test_get_chain_total_rewards",""
