"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 07:04:56 UTC 2023","Thu Dec 21 07:04:57 UTC 2023","201","tests","test_api_invoices","","","","test_negative_create_invoice_null_quantity",""
"broken","Thu Dec 21 07:04:55 UTC 2023","Thu Dec 21 07:04:55 UTC 2023","0","tests","test_api_invoices","","","","test_negative_pay_invoice_invalid_wallet_password",""
"passed","Thu Dec 21 07:05:05 UTC 2023","Thu Dec 21 07:05:05 UTC 2023","196","tests","test_api_licenses","","","","test_get_member_licenses",""
"failed","Thu Dec 21 07:05:17 UTC 2023","Thu Dec 21 07:05:17 UTC 2023","202","tests","test_api_rewards","","","","test_get_campaigns",""
"passed","Thu Dec 21 07:05:06 UTC 2023","Thu Dec 21 07:05:06 UTC 2023","197","tests","test_api_licenses","","","","test_negative_get_member_licenses_for_invalid_id",""
"passed","Thu Dec 21 07:05:11 UTC 2023","Thu Dec 21 07:05:11 UTC 2023","213","tests","test_api_member_preferences","","","","test_negative_delete_member_preference",""
"broken","Thu Dec 21 07:04:55 UTC 2023","Thu Dec 21 07:04:55 UTC 2023","0","tests","test_api_invoices","","","","test_negative_pay_invoice_no_token",""
"failed","Thu Dec 21 07:05:18 UTC 2023","Thu Dec 21 07:05:18 UTC 2023","194","tests","test_api_rewards","","","","test_patch_promotion",""
"passed","Thu Dec 21 07:06:02 UTC 2023","Thu Dec 21 07:06:02 UTC 2023","186","tests","test_api_wallet","","","","test_negative_get_transactions_invalid_coin",""
"skipped","Thu Dec 21 07:05:19 UTC 2023","Thu Dec 21 07:05:19 UTC 2023","0","tests","test_api_rewards","","","","test_post_archive_promotion",""
"passed","Thu Dec 21 07:05:59 UTC 2023","Thu Dec 21 07:05:59 UTC 2023","211","tests","test_api_wallet","","","","test_get_payment_address[usdc]",""
"passed","Thu Dec 21 07:05:43 UTC 2023","Thu Dec 21 07:05:49 UTC 2023","6563","tests","test_api_wallet","","","","test_get_transactions_token[btc]",""
"skipped","Thu Dec 21 07:04:48 UTC 2023","Thu Dec 21 07:04:48 UTC 2023","0","tests","test_api_distribution","","","","test_post_admin_migrate",""
"skipped","Thu Dec 21 07:05:18 UTC 2023","Thu Dec 21 07:05:18 UTC 2023","0","tests","test_api_rewards","","","","test_post_update_campaign",""
"passed","Thu Dec 21 07:05:19 UTC 2023","Thu Dec 21 07:05:19 UTC 2023","203","tests","test_api_rewards","","","","test_post_mark_member_reward_as_viewed",""
"passed","Thu Dec 21 07:05:22 UTC 2023","Thu Dec 21 07:05:22 UTC 2023","205","tests","test_api_shopping","","","","test_cancel_usd_invoice",""
"passed","Thu Dec 21 07:04:53 UTC 2023","Thu Dec 21 07:04:53 UTC 2023","187","tests","test_api_health_check","","","","test_ethconnect_health_check",""
"passed","Thu Dec 21 07:05:22 UTC 2023","Thu Dec 21 07:05:23 UTC 2023","221","tests","test_api_shopping","","","","test_get_expired_invoices",""
"broken","Thu Dec 21 07:05:19 UTC 2023","Thu Dec 21 07:05:19 UTC 2023","0","tests","test_api_rewards","","","","test_get_reward",""
"passed","Thu Dec 21 07:06:01 UTC 2023","Thu Dec 21 07:06:01 UTC 2023","188","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[eth]",""
"skipped","Thu Dec 21 07:04:48 UTC 2023","Thu Dec 21 07:04:48 UTC 2023","0","tests","test_api_distribution","","","","test_post_import_licenses",""
"passed","Thu Dec 21 07:05:12 UTC 2023","Thu Dec 21 07:05:12 UTC 2023","208","tests","test_api_members","","","","test_get_member_details",""
