"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 07:04:43 UTC 2023","Tue Dec 19 07:04:44 UTC 2023","442","tests","test_api_carts","","","","test_delete_cart_items",""
"passed","Tue Dec 19 07:05:03 UTC 2023","Tue Dec 19 07:05:04 UTC 2023","501","tests","test_api_ledger","","","","test_get_all_charters",""
"passed","Tue Dec 19 07:04:57 UTC 2023","Tue Dec 19 07:04:58 UTC 2023","398","tests","test_api_invoices","","","","test_negative_create_invoice_null_payment_method",""
"passed","Tue Dec 19 07:06:30 UTC 2023","Tue Dec 19 07:06:30 UTC 2023","397","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[btc]",""
"passed","Tue Dec 19 07:06:31 UTC 2023","Tue Dec 19 07:06:32 UTC 2023","392","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[btc]",""
"passed","Tue Dec 19 07:05:54 UTC 2023","Tue Dec 19 07:06:01 UTC 2023","7413","tests","test_api_wallet","","","","test_get_transactions_token[eth]",""
"skipped","Tue Dec 19 07:04:45 UTC 2023","Tue Dec 19 07:04:45 UTC 2023","0","tests","test_api_distribution","","","","test_post_import_licenses",""
"passed","Tue Dec 19 07:04:57 UTC 2023","Tue Dec 19 07:04:57 UTC 2023","513","tests","test_api_invoices","","","","test_negative_create_invoice_invalid_payment_method",""
"passed","Tue Dec 19 07:04:54 UTC 2023","Tue Dec 19 07:04:55 UTC 2023","902","tests","test_api_invoices","","","","test_get_low_stock_alert",""
"skipped","Tue Dec 19 07:05:27 UTC 2023","Tue Dec 19 07:05:27 UTC 2023","0","tests","test_api_rewards","","","","test_post_update_campaign",""
"passed","Tue Dec 19 07:04:44 UTC 2023","Tue Dec 19 07:04:45 UTC 2023","422","tests","test_api_distribution","","","","test_get_distributor_status",""
"passed","Tue Dec 19 07:06:29 UTC 2023","Tue Dec 19 07:06:29 UTC 2023","406","tests","test_api_wallet","","","","test_negative_get_wallet_invalid_coin",""
"passed","Tue Dec 19 07:05:10 UTC 2023","Tue Dec 19 07:05:10 UTC 2023","171","tests","test_api_login","","","","test_login_step3",""
"passed","Tue Dec 19 07:05:51 UTC 2023","Tue Dec 19 07:05:54 UTC 2023","3172","tests","test_api_wallet","","","","test_get_transactions",""
"passed","Tue Dec 19 07:06:28 UTC 2023","Tue Dec 19 07:06:29 UTC 2023","407","tests","test_api_wallet","","","","test_negative_get_mnemonic_no_token",""
"passed","Tue Dec 19 07:04:50 UTC 2023","Tue Dec 19 07:04:50 UTC 2023","412","tests","test_api_health_check","","","","test_ethconnect_health_check",""
"passed","Tue Dec 19 07:04:49 UTC 2023","Tue Dec 19 07:04:50 UTC 2023","388","tests","test_api_health_check","","","","test_messaging_health_check",""
"skipped","Tue Dec 19 07:04:45 UTC 2023","Tue Dec 19 07:04:45 UTC 2023","0","tests","test_api_distribution","","","","test_post_distribute_rewards_win",""
