"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 07:04:51 UTC 2023","Fri Dec 22 07:04:51 UTC 2023","182","tests","test_api_licenses","","","","test_negative_get_member_licenses_invalid_license",""
"broken","Fri Dec 22 07:04:40 UTC 2023","Fri Dec 22 07:04:40 UTC 2023","0","tests","test_api_invoices","","","","test_negative_pay_invoice_no_token",""
"passed","Fri Dec 22 07:04:52 UTC 2023","Fri Dec 22 07:04:53 UTC 2023","189","tests","test_api_login","","","","test_negative_login_step2_invalid_token",""
"passed","Fri Dec 22 07:04:49 UTC 2023","Fri Dec 22 07:04:49 UTC 2023","363","tests","test_api_licenses","","","","test_get_licenses",""
"broken","Fri Dec 22 07:04:40 UTC 2023","Fri Dec 22 07:04:40 UTC 2023","0","tests","test_api_invoices","","","","test_get_shipment",""
"failed","Fri Dec 22 07:04:57 UTC 2023","Fri Dec 22 07:04:57 UTC 2023","192","tests","test_api_members","","","","test_get_affiliate",""
"passed","Fri Dec 22 07:05:43 UTC 2023","Fri Dec 22 07:05:43 UTC 2023","227","tests","test_api_wallet","","","","test_get_rewards_summary",""
"passed","Fri Dec 22 07:05:09 UTC 2023","Fri Dec 22 07:05:09 UTC 2023","470","tests","test_api_wallet","","","","test_get_wallet[ize]",""
"skipped","Fri Dec 22 07:05:01 UTC 2023","Fri Dec 22 07:05:01 UTC 2023","0","tests","test_api_rewards","","","","test_post_update_campaign",""
"passed","Fri Dec 22 07:04:42 UTC 2023","Fri Dec 22 07:04:42 UTC 2023","191","tests","test_api_invoices","","","","test_negative_create_invoice_null_payment_method",""
"passed","Fri Dec 22 07:04:50 UTC 2023","Fri Dec 22 07:04:51 UTC 2023","184","tests","test_api_licenses","","","","test_negative_get_member_licenses_for_invalid_id",""
"passed","Fri Dec 22 07:05:45 UTC 2023","Fri Dec 22 07:05:45 UTC 2023","190","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[btc]",""
"broken","Fri Dec 22 07:05:02 UTC 2023","Fri Dec 22 07:05:02 UTC 2023","1","tests","test_api_rewards","","","","test_post_create_promotion",""
"passed","Fri Dec 22 07:04:57 UTC 2023","Fri Dec 22 07:04:57 UTC 2023","190","tests","test_api_members","","","","test_get_member_referrals",""
"passed","Fri Dec 22 07:04:51 UTC 2023","Fri Dec 22 07:04:52 UTC 2023","223","tests","test_api_login","","","","test_login_step3",""
"passed","Fri Dec 22 07:04:34 UTC 2023","Fri Dec 22 07:04:35 UTC 2023","702","tests","test_api_ethconnect","","","","test_get_token_price[eth]",""
"passed","Fri Dec 22 07:04:43 UTC 2023","Fri Dec 22 07:04:43 UTC 2023","223","tests","test_api_invoices","","","","test_negative_add_shipment_duplicate_shipment",""
"passed","Fri Dec 22 07:05:09 UTC 2023","Fri Dec 22 07:05:10 UTC 2023","545","tests","test_api_wallet","","","","test_get_wallet[btc]",""
"passed","Fri Dec 22 07:04:29 UTC 2023","Fri Dec 22 07:04:29 UTC 2023","253","tests","test_api_agreements","","","","test_unsigned_agreements",""
"broken","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","0","tests","test_api_rewards","","","","test_get_requirement",""
"failed","Fri Dec 22 07:04:29 UTC 2023","Fri Dec 22 07:04:30 UTC 2023","194","tests","test_api_agreements","","","","test_create_agreement",""
"broken","Fri Dec 22 07:04:40 UTC 2023","Fri Dec 22 07:04:40 UTC 2023","0","tests","test_api_invoices","","","","test_negative_pay_invoice_invalid_coin_symbol",""
"failed","Fri Dec 22 07:05:04 UTC 2023","Fri Dec 22 07:05:04 UTC 2023","187","tests","test_api_roles","","","","test_create_a_role",""
"passed","Fri Dec 22 07:05:45 UTC 2023","Fri Dec 22 07:05:46 UTC 2023","465","tests","test_new_user_flow","","","","test_create_user_step1",""
"passed","Fri Dec 22 07:04:49 UTC 2023","Fri Dec 22 07:04:50 UTC 2023","201","tests","test_api_licenses","","","","test_get_license_types",""
"failed","Fri Dec 22 07:05:02 UTC 2023","Fri Dec 22 07:05:02 UTC 2023","185","tests","test_api_rewards","","","","test_get_rewards_types",""
"passed","Fri Dec 22 07:05:48 UTC 2023","Fri Dec 22 07:05:48 UTC 2023","574","tests","test_new_user_flow","","","","test_verify_email",""
"passed","Fri Dec 22 07:04:52 UTC 2023","Fri Dec 22 07:04:52 UTC 2023","203","tests","test_api_login","","","","test_negative_login_step1_invalid_creds",""
"skipped","Fri Dec 22 07:04:34 UTC 2023","Fri Dec 22 07:04:34 UTC 2023","0","tests","test_api_distribution","","","","test_post_import_licenses",""
"passed","Fri Dec 22 07:04:57 UTC 2023","Fri Dec 22 07:04:57 UTC 2023","185","tests","test_api_members","","","","test_get_all_affiliates",""
"broken","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","0","tests","test_api_rewards","","","","test_delete_reward",""
"failed","Fri Dec 22 07:04:39 UTC 2023","Fri Dec 22 07:04:39 UTC 2023","0","tests","test_api_invoices","","","","test_create_invoice",""
"passed","Fri Dec 22 07:05:44 UTC 2023","Fri Dec 22 07:05:44 UTC 2023","191","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[usdc]",""
"skipped","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","0","tests","test_api_rewards","","","","test_post_archive_campaign",""
"passed","Fri Dec 22 07:05:42 UTC 2023","Fri Dec 22 07:05:42 UTC 2023","220","tests","test_api_wallet","","","","test_get_payment_address[ize]",""
"skipped","Fri Dec 22 07:04:34 UTC 2023","Fri Dec 22 07:04:34 UTC 2023","0","tests","test_api_distribution","","","","test_post_admin_import_license_types",""
"passed","Fri Dec 22 07:04:35 UTC 2023","Fri Dec 22 07:04:36 UTC 2023","454","tests","test_api_ethconnect","","","","test_get_token_price[btc]",""
"passed","Fri Dec 22 07:04:50 UTC 2023","Fri Dec 22 07:04:50 UTC 2023","192","tests","test_api_licenses","","","","test_get_member_licenses",""
"passed","Fri Dec 22 07:04:58 UTC 2023","Fri Dec 22 07:04:59 UTC 2023","283","tests","test_api_members","","","","test_get_chain_total_rewards",""
"passed","Fri Dec 22 07:05:01 UTC 2023","Fri Dec 22 07:05:02 UTC 2023","195","tests","test_api_rewards","","","","test_get_member_campaigns",""
"passed","Fri Dec 22 07:05:12 UTC 2023","Fri Dec 22 07:05:19 UTC 2023","6799","tests","test_api_wallet","","","","test_get_transactions_token[eth]",""
"broken","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","0","tests","test_api_rewards","","","","test_delete_campaign_by_id",""
"passed","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","207","tests","test_api_rewards","","","","test_post_mark_member_reward_as_viewed",""
"broken","Fri Dec 22 07:04:30 UTC 2023","Fri Dec 22 07:04:30 UTC 2023","0","tests","test_api_agreements","","","","test_delete_agreement",""
"passed","Fri Dec 22 07:04:56 UTC 2023","Fri Dec 22 07:04:56 UTC 2023","288","tests","test_api_members","","","","test_update_member",""
"passed","Fri Dec 22 07:05:32 UTC 2023","Fri Dec 22 07:05:39 UTC 2023","6686","tests","test_api_wallet","","","","test_get_transactions_token[usdc]",""
"failed","Fri Dec 22 07:04:57 UTC 2023","Fri Dec 22 07:04:57 UTC 2023","180","tests","test_api_members","","","","test_create_affiliates",""
"passed","Fri Dec 22 07:04:41 UTC 2023","Fri Dec 22 07:04:42 UTC 2023","194","tests","test_api_invoices","","","","test_negative_create_invoice_null_quantity",""
"passed","Fri Dec 22 07:04:53 UTC 2023","Fri Dec 22 07:04:53 UTC 2023","183","tests","test_api_login","","","","test_negative_login_step3_invalid_token",""
"passed","Fri Dec 22 07:05:06 UTC 2023","Fri Dec 22 07:05:06 UTC 2023","339","tests","test_api_shopping","","","","test_low_stock_alert",""
"passed","Fri Dec 22 07:05:44 UTC 2023","Fri Dec 22 07:05:44 UTC 2023","187","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[ize]",""
"passed","Fri Dec 22 07:04:51 UTC 2023","Fri Dec 22 07:04:51 UTC 2023","254","tests","test_api_login","","","","test_login_step2",""
"broken","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","0","tests","test_api_rewards","","","","test_delete_promotion",""
"passed","Fri Dec 22 07:04:31 UTC 2023","Fri Dec 22 07:04:32 UTC 2023","274","tests","test_api_authenticator","","","","test_generate_code",""
"passed","Fri Dec 22 07:04:52 UTC 2023","Fri Dec 22 07:04:52 UTC 2023","300","tests","test_api_login","","","","test_negative_sigin_invalid_credentials_500",""
"failed","Fri Dec 22 07:05:04 UTC 2023","Fri Dec 22 07:05:04 UTC 2023","185","tests","test_api_roles","","","","test_get_a_role",""
"passed","Fri Dec 22 07:05:44 UTC 2023","Fri Dec 22 07:05:45 UTC 2023","192","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[ize]",""
"skipped","Fri Dec 22 07:04:34 UTC 2023","Fri Dec 22 07:04:34 UTC 2023","0","tests","test_api_distribution","","","","test_post_distribute_rewards_win",""
"broken","Fri Dec 22 07:05:03 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","0","tests","test_api_rewards","","","","test_create_requirement",""
"passed","Fri Dec 22 07:04:30 UTC 2023","Fri Dec 22 07:04:31 UTC 2023","185","tests","test_api_agreements","","","","test_negative_agreement_by_id",""
"failed","Fri Dec 22 07:05:01 UTC 2023","Fri Dec 22 07:05:01 UTC 2023","195","tests","test_api_rewards","","","","test_get_campaign_by_id",""
"failed","Fri Dec 22 07:05:02 UTC 2023","Fri Dec 22 07:05:02 UTC 2023","192","tests","test_api_rewards","","","","test_patch_promotion",""
"broken","Fri Dec 22 07:05:02 UTC 2023","Fri Dec 22 07:05:02 UTC 2023","0","tests","test_api_rewards","","","","test_patch_reward",""
"broken","Fri Dec 22 07:05:00 UTC 2023","Fri Dec 22 07:05:00 UTC 2023","0","tests","test_api_products","","","","test_create_product_price_tiers",""
"failed","Fri Dec 22 07:05:02 UTC 2023","Fri Dec 22 07:05:03 UTC 2023","181","tests","test_api_rewards","","","","test_get_action_types",""
"broken","Fri Dec 22 07:04:40 UTC 2023","Fri Dec 22 07:04:40 UTC 2023","1","tests","test_api_invoices","","","","test_pay_invoice",""
"passed","Fri Dec 22 07:04:38 UTC 2023","Fri Dec 22 07:04:38 UTC 2023","191","tests","test_api_health_check","","","","test_ethconnect_health_check",""
"passed","Fri Dec 22 07:05:45 UTC 2023","Fri Dec 22 07:05:45 UTC 2023","199","tests","test_api_wallet","","","","test_negative_get_transactions_invalid_coin",""
"passed","Fri Dec 22 07:05:46 UTC 2023","Fri Dec 22 07:05:47 UTC 2023","1066","tests","test_new_user_flow","","","","test_create_user_step2",""
"broken","Fri Dec 22 07:04:41 UTC 2023","Fri Dec 22 07:04:41 UTC 2023","0","tests","test_api_invoices","","","","test_cancel_invoice",""
"skipped","Fri Dec 22 07:04:33 UTC 2023","Fri Dec 22 07:04:33 UTC 2023","0","tests","test_api_distribution","","","","test_get_list_distributions",""
"passed","Fri Dec 22 07:05:48 UTC 2023","Fri Dec 22 07:05:48 UTC 2023","194","tests","test_new_user_flow","","","","test_unsigned_agreements",""
"passed","Fri Dec 22 07:05:42 UTC 2023","Fri Dec 22 07:05:43 UTC 2023","201","tests","test_api_wallet","","","","test_get_erc20_allow_purchase",""
"passed","Fri Dec 22 07:04:56 UTC 2023","Fri Dec 22 07:04:57 UTC 2023","194","tests","test_api_members","","","","test_delete_profile_picture",""
"passed","Fri Dec 22 07:04:31 UTC 2023","Fri Dec 22 07:04:31 UTC 2023","188","tests","test_api_agreements","","","","test_negative_delete_agreement",""
"passed","Fri Dec 22 07:05:19 UTC 2023","Fri Dec 22 07:05:26 UTC 2023","6578","tests","test_api_wallet","","","","test_get_transactions_token[ize]",""
