"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 07:05:25 UTC 2023","Sun Dec 10 07:05:26 UTC 2023","690","tests","test_api_wallet","","","","test_get_wallet[eth]",""
"failed","Sun Dec 10 07:05:07 UTC 2023","Sun Dec 10 07:05:07 UTC 2023","412","tests","test_api_members","","","","test_create_affiliates",""
"passed","Sun Dec 10 07:06:11 UTC 2023","Sun Dec 10 07:06:12 UTC 2023","413","tests","test_new_user_flow","","","","test_get_email_verification_code",""
"broken","Sun Dec 10 07:04:41 UTC 2023","Sun Dec 10 07:04:41 UTC 2023","0","tests","test_api_invoices","","","","test_negative_pay_invoice_invalid_wallet_password",""
"passed","Sun Dec 10 07:04:35 UTC 2023","Sun Dec 10 07:04:36 UTC 2023","282","tests","test_api_fees","","","","test_coin_market_cap[eth]",""
"passed","Sun Dec 10 07:05:38 UTC 2023","Sun Dec 10 07:05:45 UTC 2023","6783","tests","test_api_wallet","","","","test_get_transactions_token[ize]",""
"passed","Sun Dec 10 07:05:58 UTC 2023","Sun Dec 10 07:05:59 UTC 2023","664","tests","test_api_wallet","","","","test_get_gas_fee[eth]",""
"broken","Sun Dec 10 07:05:14 UTC 2023","Sun Dec 10 07:05:14 UTC 2023","0","tests","test_api_rewards","","","","test_post_create_promotion",""
"broken","Sun Dec 10 07:04:30 UTC 2023","Sun Dec 10 07:04:30 UTC 2023","1","tests","test_api_carts","","","","test_delete_item_from_cart",""
"passed","Sun Dec 10 07:04:58 UTC 2023","Sun Dec 10 07:04:58 UTC 2023","109","tests","test_api_login","","","","test_negative_login_step1_invalid_token",""
"passed","Sun Dec 10 07:04:30 UTC 2023","Sun Dec 10 07:04:31 UTC 2023","414","tests","test_api_carts","","","","test_get_cart",""
"passed","Sun Dec 10 07:05:26 UTC 2023","Sun Dec 10 07:05:27 UTC 2023","772","tests","test_api_wallet","","","","test_get_wallet[btc]",""
"broken","Sun Dec 10 07:05:11 UTC 2023","Sun Dec 10 07:05:11 UTC 2023","0","tests","test_api_products","","","","test_get_product_price_tiers",""
"passed","Sun Dec 10 07:05:45 UTC 2023","Sun Dec 10 07:05:51 UTC 2023","6772","tests","test_api_wallet","","","","test_get_transactions_token[btc]",""
"skipped","Sun Dec 10 07:04:31 UTC 2023","Sun Dec 10 07:04:31 UTC 2023","0","tests","test_api_distribution","","","","test_post_admin_add_partners",""
"passed","Sun Dec 10 07:04:54 UTC 2023","Sun Dec 10 07:04:55 UTC 2023","417","tests","test_api_licenses","","","","test_negative_get_licenses_no_token",""
"passed","Sun Dec 10 07:06:01 UTC 2023","Sun Dec 10 07:06:02 UTC 2023","440","tests","test_api_wallet","","","","test_get_payment_address[eth]",""
"passed","Sun Dec 10 07:05:21 UTC 2023","Sun Dec 10 07:05:21 UTC 2023","448","tests","test_api_shopping","","","","test_create_usd_invoice_partners",""
"skipped","Sun Dec 10 07:05:17 UTC 2023","Sun Dec 10 07:05:17 UTC 2023","0","tests","test_api_rewards","","","","test_post_archive_promotion",""
"skipped","Sun Dec 10 07:04:31 UTC 2023","Sun Dec 10 07:04:31 UTC 2023","0","tests","test_api_distribution","","","","test_post_import_members_as_of_date",""
"passed","Sun Dec 10 07:06:05 UTC 2023","Sun Dec 10 07:06:05 UTC 2023","416","tests","test_api_wallet","","","","test_negative_get_wallet_invalid_coin",""
"passed","Sun Dec 10 07:05:06 UTC 2023","Sun Dec 10 07:05:06 UTC 2023","416","tests","test_api_members","","","","test_get_member_referrals",""
"passed","Sun Dec 10 07:04:56 UTC 2023","Sun Dec 10 07:04:56 UTC 2023","409","tests","test_api_licenses","","","","test_negative_get_member_licenses_invalid_key",""
"skipped","Sun Dec 10 07:04:31 UTC 2023","Sun Dec 10 07:04:31 UTC 2023","0","tests","test_api_distribution","","","","test_post_distribute_rewards_win",""
"skipped","Sun Dec 10 07:05:17 UTC 2023","Sun Dec 10 07:05:17 UTC 2023","0","tests","test_api_rewards","","","","test_post_archive_campaign",""
