"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 07:04:51 UTC 2023","Sun Dec 17 07:04:52 UTC 2023","238","tests","test_api_login","","","","test_login_step1",""
"failed","Sun Dec 17 07:05:07 UTC 2023","Sun Dec 17 07:05:07 UTC 2023","283","tests","test_api_rewards","","","","test_get_requirements",""
"passed","Sun Dec 17 07:05:33 UTC 2023","Sun Dec 17 07:05:39 UTC 2023","6688","tests","test_api_wallet","","","","test_get_transactions_token[btc]",""
"passed","Sun Dec 17 07:04:49 UTC 2023","Sun Dec 17 07:04:50 UTC 2023","325","tests","test_api_licenses","","","","test_get_member_licenses",""
"passed","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","343","tests","test_api_carts","","","","test_get_cart",""
"passed","Sun Dec 17 07:04:56 UTC 2023","Sun Dec 17 07:04:56 UTC 2023","280","tests","test_api_member_preferences","","","","test_negative_get_member_preferences_by_id",""
"failed","Sun Dec 17 07:05:07 UTC 2023","Sun Dec 17 07:05:07 UTC 2023","313","tests","test_api_rewards","","","","test_get_action_types",""
"passed","Sun Dec 17 07:04:54 UTC 2023","Sun Dec 17 07:04:55 UTC 2023","331","tests","test_api_member_preferences","","","","test_get_all_member_preferences",""
"broken","Sun Dec 17 07:05:08 UTC 2023","Sun Dec 17 07:05:08 UTC 2023","1","tests","test_api_rewards","","","","test_delete_reward",""
"passed","Sun Dec 17 07:04:32 UTC 2023","Sun Dec 17 07:04:33 UTC 2023","544","tests","test_api_ethconnect","","","","test_get_token_price[btc]",""
"passed","Sun Dec 17 07:05:52 UTC 2023","Sun Dec 17 07:05:52 UTC 2023","322","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[eth]",""
"passed","Sun Dec 17 07:05:56 UTC 2023","Sun Dec 17 07:05:57 UTC 2023","682","tests","test_new_user_flow","","","","test_login_new_user",""
"passed","Sun Dec 17 07:04:36 UTC 2023","Sun Dec 17 07:04:36 UTC 2023","271","tests","test_api_health_check","","","","test_wallet_health_check",""
"passed","Sun Dec 17 07:05:01 UTC 2023","Sun Dec 17 07:05:01 UTC 2023","384","tests","test_api_members","","","","test_get_chain_total_rewards",""
"broken","Sun Dec 17 07:05:04 UTC 2023","Sun Dec 17 07:05:04 UTC 2023","0","tests","test_api_products","","","","test_delete_product",""
"passed","Sun Dec 17 07:04:34 UTC 2023","Sun Dec 17 07:04:34 UTC 2023","164","tests","test_api_fees","","","","test_coin_market_cap[ize]",""
"passed","Sun Dec 17 07:04:24 UTC 2023","Sun Dec 17 07:04:25 UTC 2023","526","tests","test_api_agreements","","","","test_unsigned_agreements",""
"passed","Sun Dec 17 07:04:33 UTC 2023","Sun Dec 17 07:04:33 UTC 2023","596","tests","test_api_ethconnect","","","","test_get_token_price[usdc]",""
"skipped","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","0","tests","test_api_distribution","","","","test_post_run_distribution_for_date",""
"passed","Sun Dec 17 07:05:57 UTC 2023","Sun Dec 17 07:05:58 UTC 2023","327","tests","test_new_user_flow","","","","test_unsigned_agreements",""
"passed","Sun Dec 17 07:05:16 UTC 2023","Sun Dec 17 07:05:16 UTC 2023","567","tests","test_api_wallet","","","","test_get_wallet[usdc]",""
"passed","Sun Dec 17 07:04:53 UTC 2023","Sun Dec 17 07:04:53 UTC 2023","308","tests","test_api_login","","","","test_negative_login_step2_invalid_token",""
"failed","Sun Dec 17 07:04:37 UTC 2023","Sun Dec 17 07:04:37 UTC 2023","0","tests","test_api_invoices","","","","test_create_invoice",""
"passed","Sun Dec 17 07:05:19 UTC 2023","Sun Dec 17 07:05:26 UTC 2023","7086","tests","test_api_wallet","","","","test_get_transactions_token[eth]",""
"passed","Sun Dec 17 07:05:15 UTC 2023","Sun Dec 17 07:05:16 UTC 2023","619","tests","test_api_wallet","","","","test_get_wallet[btc]",""
"passed","Sun Dec 17 07:04:27 UTC 2023","Sun Dec 17 07:04:28 UTC 2023","336","tests","test_api_authenticator","","","","test_generate_code",""
"passed","Sun Dec 17 07:05:03 UTC 2023","Sun Dec 17 07:05:03 UTC 2023","355","tests","test_api_products","","","","test_get_products",""
"passed","Sun Dec 17 07:04:55 UTC 2023","Sun Dec 17 07:04:55 UTC 2023","289","tests","test_api_member_preferences","","","","test_get_member_preferences_by_id",""
"passed","Sun Dec 17 07:04:29 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","284","tests","test_api_carts","","","","test_delete_cart_items",""
"broken","Sun Dec 17 07:04:38 UTC 2023","Sun Dec 17 07:04:38 UTC 2023","0","tests","test_api_invoices","","","","test_negative_pay_invoice_invalid_wallet_password",""
"broken","Sun Dec 17 07:05:07 UTC 2023","Sun Dec 17 07:05:07 UTC 2023","0","tests","test_api_rewards","","","","test_get_reward",""
"passed","Sun Dec 17 07:04:52 UTC 2023","Sun Dec 17 07:04:53 UTC 2023","464","tests","test_api_login","","","","test_negative_sigin_invalid_credentials_500",""
"passed","Sun Dec 17 07:05:51 UTC 2023","Sun Dec 17 07:05:51 UTC 2023","304","tests","test_api_wallet","","","","test_get_rewards_summary",""
"passed","Sun Dec 17 07:04:39 UTC 2023","Sun Dec 17 07:04:39 UTC 2023","332","tests","test_api_invoices","","","","test_get_expired_invoices",""
"passed","Sun Dec 17 07:05:55 UTC 2023","Sun Dec 17 07:05:55 UTC 2023","565","tests","test_new_user_flow","","","","test_create_user_step1",""
"passed","Sun Dec 17 07:05:47 UTC 2023","Sun Dec 17 07:05:48 UTC 2023","1093","tests","test_api_wallet","","","","test_get_gas_fee[ize]",""
"passed","Sun Dec 17 07:04:28 UTC 2023","Sun Dec 17 07:04:28 UTC 2023","684","tests","test_api_authtoken","","","","test_auth_token",""
"passed","Sun Dec 17 07:05:59 UTC 2023","Sun Dec 17 07:05:59 UTC 2023","440","tests","test_new_user_flow","","","","test_post_create_wallet",""
"passed","Sun Dec 17 07:04:34 UTC 2023","Sun Dec 17 07:04:34 UTC 2023","303","tests","test_api_feature_flags","","","","test_feature_flags_enabled",""
"broken","Sun Dec 17 07:05:06 UTC 2023","Sun Dec 17 07:05:06 UTC 2023","1","tests","test_api_rewards","","","","test_get_promotion",""
"passed","Sun Dec 17 07:04:47 UTC 2023","Sun Dec 17 07:04:47 UTC 2023","370","tests","test_api_ledger","","","","test_get_all_charters",""
"passed","Sun Dec 17 07:04:40 UTC 2023","Sun Dec 17 07:04:41 UTC 2023","308","tests","test_api_invoices","","","","test_negative_create_invoice_null_quantity",""
"passed","Sun Dec 17 07:05:55 UTC 2023","Sun Dec 17 07:05:56 UTC 2023","1143","tests","test_new_user_flow","","","","test_create_user_step2",""
"passed","Sun Dec 17 07:05:58 UTC 2023","Sun Dec 17 07:05:58 UTC 2023","660","tests","test_new_user_flow","","","","test_verify_email",""
"skipped","Sun Dec 17 07:05:49 UTC 2023","Sun Dec 17 07:05:49 UTC 2023","0","tests","test_api_wallet","","","","test_get_balance",""
"passed","Sun Dec 17 07:05:11 UTC 2023","Sun Dec 17 07:05:11 UTC 2023","287","tests","test_api_shopping","","","","test_cancel_usd_invoice",""
"skipped","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","0","tests","test_api_distribution","","","","test_post_import_mining_records",""
"broken","Sun Dec 17 07:04:38 UTC 2023","Sun Dec 17 07:04:38 UTC 2023","0","tests","test_api_invoices","","","","test_pay_invoice",""
"passed","Sun Dec 17 07:04:33 UTC 2023","Sun Dec 17 07:04:34 UTC 2023","294","tests","test_api_feature_flags","","","","test_feature_flags",""
"skipped","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","0","tests","test_api_distribution","","","","test_post_admin_import_license_types",""
"passed","Sun Dec 17 07:04:49 UTC 2023","Sun Dec 17 07:04:49 UTC 2023","306","tests","test_api_licenses","","","","test_get_license_types",""
"passed","Sun Dec 17 07:04:49 UTC 2023","Sun Dec 17 07:04:49 UTC 2023","275","tests","test_api_licenses","","","","test_get_licenses_for_invoice",""
"broken","Sun Dec 17 07:05:09 UTC 2023","Sun Dec 17 07:05:09 UTC 2023","0","tests","test_api_roles","","","","test_delete_a_role",""
"passed","Sun Dec 17 07:05:52 UTC 2023","Sun Dec 17 07:05:52 UTC 2023","344","tests","test_api_wallet","","","","test_negative_get_wallet_invalid_coin",""
"broken","Sun Dec 17 07:05:07 UTC 2023","Sun Dec 17 07:05:07 UTC 2023","0","tests","test_api_rewards","","","","test_get_requirement",""
"passed","Sun Dec 17 07:05:11 UTC 2023","Sun Dec 17 07:05:12 UTC 2023","491","tests","test_api_shopping","","","","test_low_stock_alert",""
"passed","Sun Dec 17 07:05:13 UTC 2023","Sun Dec 17 07:05:13 UTC 2023","354","tests","test_api_shopping","","","","test_get_purchase_summary",""
"skipped","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","0","tests","test_api_distribution","","","","test_post_admin_seed",""
"passed","Sun Dec 17 07:04:50 UTC 2023","Sun Dec 17 07:04:50 UTC 2023","292","tests","test_api_licenses","","","","test_negative_get_licenses_no_token",""
"broken","Sun Dec 17 07:04:38 UTC 2023","Sun Dec 17 07:04:38 UTC 2023","0","tests","test_api_invoices","","","","test_get_invoice",""
"passed","Sun Dec 17 07:05:54 UTC 2023","Sun Dec 17 07:05:54 UTC 2023","352","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[btc]",""
"passed","Sun Dec 17 07:04:42 UTC 2023","Sun Dec 17 07:04:42 UTC 2023","299","tests","test_api_invoices","","","","test_negative_add_shipment_invalid_invoice",""
"broken","Sun Dec 17 07:04:42 UTC 2023","Sun Dec 17 07:04:42 UTC 2023","0","tests","test_api_invoices","","","","test_negative_get_invoice_no_token",""
"passed","Sun Dec 17 07:05:46 UTC 2023","Sun Dec 17 07:05:47 UTC 2023","734","tests","test_api_wallet","","","","test_get_gas_fee[eth]",""
"passed","Sun Dec 17 07:04:26 UTC 2023","Sun Dec 17 07:04:27 UTC 2023","317","tests","test_api_agreements","","","","test_negative_delete_agreement",""
"skipped","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","0","tests","test_api_distribution","","","","test_delete_distribution",""
"passed","Sun Dec 17 07:05:10 UTC 2023","Sun Dec 17 07:05:10 UTC 2023","353","tests","test_api_shopping","","","","test_create_eth_invoice_partners",""
"skipped","Sun Dec 17 07:05:08 UTC 2023","Sun Dec 17 07:05:08 UTC 2023","0","tests","test_api_rewards","","","","test_post_archive_campaign",""
"passed","Sun Dec 17 07:04:52 UTC 2023","Sun Dec 17 07:04:52 UTC 2023","216","tests","test_api_login","","","","test_login_step3",""
"passed","Sun Dec 17 07:04:56 UTC 2023","Sun Dec 17 07:04:57 UTC 2023","345","tests","test_api_member_preferences","","","","test_negative_delete_member_preference",""
"passed","Sun Dec 17 07:04:41 UTC 2023","Sun Dec 17 07:04:41 UTC 2023","328","tests","test_api_invoices","","","","test_negative_create_invoice_null_payment_method",""
"skipped","Sun Dec 17 07:04:30 UTC 2023","Sun Dec 17 07:04:30 UTC 2023","1","tests","test_api_distribution","","","","test_post_admin_add_partners",""
"passed","Sun Dec 17 07:04:51 UTC 2023","Sun Dec 17 07:04:51 UTC 2023","327","tests","test_api_licenses","","","","test_negative_get_member_licenses_invalid_license",""
"failed","Sun Dec 17 07:05:04 UTC 2023","Sun Dec 17 07:05:05 UTC 2023","390","tests","test_api_rewards","","","","test_get_campaigns",""
"passed","Sun Dec 17 07:04:38 UTC 2023","Sun Dec 17 07:04:38 UTC 2023","287","tests","test_api_invoices","","","","test_negative_pay_invalid_invoice",""
